totalTime,score,pacmanCurrentNodeIndex,ghost1NodeIndex,ghost1EdibleTime,ghost1LairTime,ghost2NodeIndex,ghost2EdibleTime,ghost2LairTime,ghost3NodeIndex,ghost3EdibleTime,ghost3LairTime,ghost4NodeIndex,ghost4EdibleTime,ghost4LairTime,timeOfLastGlobalReversal,pacmanWasEaten,ghost1Eaten,ghost2Eaten,ghost3Eaten,ghost4Eaten,pacmanLastMoveMade_DOWN,pacmanLastMoveMade_LEFT,pacmanLastMoveMade_RIGHT,pacmanLastMoveMade_UP,ghost1LastMove_DOWN,ghost1LastMove_LEFT,ghost1LastMove_NEUTRAL,ghost1LastMove_RIGHT,ghost1LastMove_UP,ghost2LastMove_DOWN,ghost2LastMove_LEFT,ghost2LastMove_NEUTRAL,ghost2LastMove_RIGHT,ghost2LastMove_UP,ghost3LastMove_DOWN,ghost3LastMove_LEFT,ghost3LastMove_NEUTRAL,ghost3LastMove_RIGHT,ghost3LastMove_UP,ghost4LastMove_DOWN,ghost4LastMove_LEFT,ghost4LastMove_NEUTRAL,ghost4LastMove_RIGHT,ghost4LastMove_UP
907,3030,810,1292,0,19,1292,0,39,1292,0,59,1292,0,79,606,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
919,3060,691,1292,0,7,1292,0,27,1292,0,47,1292,0,67,606,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
943,3120,456,481,0,0,1292,0,3,1292,0,23,1292,0,43,606,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
955,3150,348,469,0,0,507,0,0,1292,0,11,1292,0,31,606,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
971,3180,153,444,0,0,430,0,0,503,0,0,1292,0,15,606,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
983,3180,165,318,0,0,379,0,0,515,0,0,1292,0,3,606,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1011,3250,361,259,0,0,194,0,0,321,0,0,430,0,0,606,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1023,3250,480,331,0,0,182,0,0,249,0,0,379,0,0,606,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1035,3250,598,360,0,0,170,0,0,190,0,0,297,0,0,606,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1059,3250,716,582,0,0,282,0,0,366,0,0,260,0,0,606,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1083,3250,834,715,0,0,549,0,0,473,0,0,362,0,0,606,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,3280,960,807,0,0,625,0,0,461,0,0,453,0,0,606,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1107,3310,948,835,0,0,774,0,0,565,0,0,582,0,0,606,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1131,3360,1211,949,0,0,825,0,0,790,0,0,715,0,0,606,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1143,3360,1223,1090,0,0,893,0,0,817,0,0,807,0,0,606,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1179,3360,1259,1234,0,0,1044,0,0,783,0,0,971,0,0,606,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1191,3390,1271,1246,0,0,1113,0,0,723,0,0,983,0,0,606,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1243,3550,1020,1188,175,0,1152,175,0,737,175,0,870,175,0,1218,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1255,3550,883,1254,163,0,1121,163,0,731,163,0,876,163,0,1218,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1279,3750,859,1242,139,0,1092,139,0,719,139,0,1292,0,18,1218,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1303,3750,728,1230,115,0,983,115,0,799,115,0,504,0,0,1218,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
